inscricao,idade,sexo,conclusao_ens_med,tipo_ens_med,treineiro,cadeira_canhoto,gestante,idoso,celular_na_residencia,internet_na_residencia,pessoas_na_residencia,renda_mensal_familiar,nota_ct,nota_ch,nota_lc,nota_mt,nota_redacao,estado,municipio,municipio_id
480900,18,M,Concluído,1,0,0,0,0,1,B,3,3992.00 até 4990.00,640.5,673.0,629.2,803.5,840.0,PB,JOÃO PESSOA,2507507
4783055,42,F,Concluído,1,0,0,0,0,1,B,3,1497.00 até 1996.00,,,,,,MG,OURO PRETO,3146107
245816,16,M,Cursando,1,1,0,0,0,1,B,6,5988.00 até 6986.00,563.4,571.5,586.8,736.9,520.0,BA,VITÓRIA DA CONQUISTA,2933307
1432635,18,F,Cursando,3,0,0,0,0,1,B,5,2495.00 até 2994.00,382.5,530.0,483.1,530.7,620.0,RJ,RIO DE JANEIRO,3304557
3483646,18,F,Cursando,2,0,0,0,0,1,B,4,6986.00 até 7984.00,527.0,563.7,484.0,649.1,880.0,RS,CAXIAS DO SUL,4305108
1169233,19,F,Concluído,1,0,0,0,0,1,B,4,<= 998.00,530.7,508.4,532.2,538.9,680.0,MG,VIÇOSA,3171303
1186042,15,F,Cursando,1,1,0,0,0,1,B,4,6986.00 até 7984.00,552.8,617.2,610.1,687.9,840.0,MG,UBERLÂNDIA,3170206
2077764,22,M,Concluído,1,0,0,0,0,1,A,1,998.00 até 1497.00,494.6,485.7,541.6,386.1,540.0,PA,CASTANHAL,1502400
3813651,21,F,Concluído,1,0,0,0,0,1,A,7,<= 998.00,366.5,429.2,492.8,436.4,600.0,MA,SÃO LUÍS,2111300
4961280,21,M,Concluído,1,0,0,0,0,1,B,3,2495.00 até 2994.00,403.3,469.5,502.9,537.7,260.0,RS,ALVORADA,4300604
4945523,17,M,Cursando,1,1,0,0,0,1,B,3,3992.00 até 4990.00,401.5,512.2,572.2,396.8,600.0,RS,SÃO LUIZ GONZAGA,4318903
2735919,41,F,Concluído,1,0,0,0,0,1,B,4,<= 998.00,427.2,518.2,374.7,437.6,0.0,BA,LAURO DE FREITAS,2919207
2957099,17,F,Cursando,1,1,0,0,0,1,A,7,<= 998.00,,401.3,399.5,,0.0,MA,LAGOA DO MATO,2105922
3667034,22,F,Concluído,1,0,0,0,0,1,B,4,998.00 até 1497.00,508.5,570.4,581.8,441.8,580.0,SP,SÃO PAULO,3550308
4096410,17,M,Cursando,1,1,0,0,0,1,B,5,5988.00 até 6986.00,599.1,593.8,606.1,551.6,0.0,TO,PALMAS,1721000
1933050,26,M,Concluído,1,0,0,0,0,0,B,4,1497.00 até 1996.00,,,,,,SE,ARACAJU,2800308
3073449,52,F,Concluído,1,0,0,0,0,1,A,4,1996.00 até 2495.00,409.5,546.2,533.1,433.0,0.0,SP,SANTOS,3548500
1841744,19,M,Concluído,1,0,0,0,0,1,B,2,11976.00 até 14970.00,554.7,472.1,558.4,617.7,820.0,RJ,NITERÓI,3303302
355929,37,F,Concluído,1,0,0,0,0,1,B,4,1497.00 até 1996.00,468.9,539.1,520.9,402.6,600.0,PE,RECIFE,2611606
649082,17,M,Cursando,2,0,0,0,0,1,B,3,998.00 até 1497.00,390.7,466.8,483.6,473.1,400.0,MG,ITUIUTABA,3134202
1072381,22,M,Concluído,1,0,0,0,0,1,B,5,998.00 até 1497.00,496.5,488.4,481.6,524.2,500.0,MA,SÃO LUÍS,2111300
4187537,17,M,Cursando,2,0,0,0,0,1,A,3,<= 998.00,,,,,,RN,UPANEMA,2414605
1500994,18,F,Concluído,1,0,0,0,0,1,B,5,1497.00 até 1996.00,519.7,548.8,554.8,643.6,760.0,SP,VOTORANTIM,3557006
4537815,39,F,Concluído,1,0,0,0,0,1,A,1,998.00 até 1497.00,546.2,569.4,547.5,551.9,600.0,AP,MACAPÁ,1600303
3500826,26,M,Concluído,1,0,0,0,0,1,A,4,<= 998.00,,,,,,MG,PLANURA,3151602
4001524,26,M,Concluído,1,0,0,0,0,1,B,1,<= 998.00,348.1,371.7,451.5,424.7,460.0,ES,VILA VELHA,3205200
1149364,18,F,Concluído,1,0,0,0,0,1,B,2,1996.00 até 2495.00,472.6,459.3,485.6,414.6,620.0,BA,LAURO DE FREITAS,2919207
2060479,20,M,Concluído,1,0,0,0,0,1,B,2,<= 998.00,468.6,469.7,562.3,441.8,740.0,PA,SANTARÉM,1506807
4132702,17,M,Concluído,1,0,0,0,0,1,A,3,998.00 até 1497.00,482.2,548.1,563.6,464.0,520.0,RJ,BELFORD ROXO,3300456
3672050,16,F,Cursando,2,0,0,0,0,1,B,4,998.00 até 1497.00,459.3,492.2,480.8,471.2,480.0,MS,NIOAQUE,5005806
